date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:57	185796/185796	---M-Z	200	added ('OK')	text/html	etag:%2224ca2fb520fd6c028c7f51a238a2babf%22	https://generous-topic-543890.framer.app/	C:/My%20Web%20Sites/barcoded/generous-topic-543890.framer.app/index.html	(from )
21:30:57	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22073bc939085fda57c07ad41187440204%22	https://generous-topic-543890.framer.app/robots.txt		(from )
21:30:58	2064/2064	---MC-	200	added ('OK')	image/jpeg	etag:%2210c950d6255369381a022af6307d5241%22	https://framerusercontent.com/images/aFAug1KzI1XOKQlDjNodn7eA3Y.jpg	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/aFAug1KzI1XOKQlDjNodn7eA3Y.jpg	(from https://generous-topic-543890.framer.app/)
21:30:58	6305/6305	---MC-	200	added ('OK')	image/png	etag:%22d1610d239727027230a7b7fadfa9e403%22	https://framerusercontent.com/images/rLGYhsK7iMKsgDi0LJP3tZZxvZQ.png?width=676&height=200	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/rLGYhsK7iMKsgDi0LJP3tZZxvZQ8a07.png	(from https://generous-topic-543890.framer.app/)
21:30:59	136445/136445	---M-Z	200	added ('OK')	text/html	etag:%22a7531b296cf8e0017ab429e72f7f40e6%22	https://generous-topic-543890.framer.app/contact	C:/My%20Web%20Sites/barcoded/generous-topic-543890.framer.app/contact.html	(from https://generous-topic-543890.framer.app/)
21:30:59	91680/91680	---MC-	200	added ('OK')	image/png	etag:%2299c7c17dceb336529e16d01f3e6ee062%22	https://framerusercontent.com/images/kvIwxBEXQFpqbHHw4Lm8HYzg3Yc.png?scale-down-to=1024&width=1700&height=942	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/kvIwxBEXQFpqbHHw4Lm8HYzg3Yce1f4.png	(from https://generous-topic-543890.framer.app/)
21:30:59	10185/10185	---MC-	200	added ('OK')	image/png	etag:%2258de71ad332159e4b0b52d021ff40439%22	https://framerusercontent.com/images/VLDBMmnGgk2Z85Qin16pqAYR6FI.png?width=375&height=568	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/VLDBMmnGgk2Z85Qin16pqAYR6FI2ee9.png	(from https://generous-topic-543890.framer.app/)
21:30:59	9610/9610	---MC-	200	added ('OK')	image/png	etag:%22fc04838669ff3a1fc06b3cded3ed0dc6%22	https://framerusercontent.com/images/ZmjjkCrbQkc3QQhhsSBV2UA30.png?scale-down-to=512&width=900&height=780	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/ZmjjkCrbQkc3QQhhsSBV2UA30af83.png	(from https://generous-topic-543890.framer.app/)
21:31:00	3860/3860	---MC-	200	added ('OK')	image/png	etag:%2207d87b7589dde0a858acfd72d4b75823%22	https://framerusercontent.com/images/foY4w3uanQAjqTOUPvoTWeysIyM.png?width=307&height=172	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/foY4w3uanQAjqTOUPvoTWeysIyMbcde.png	(from https://generous-topic-543890.framer.app/)
21:31:00	3168/3168	---MC-	200	added ('OK')	image/png	etag:%22a94664fdb132826a4514b8f7a1ef799a%22	https://framerusercontent.com/images/zaHW4wQv3ndGRqXPY7czgxXu4s.png?width=207&height=157	C:/My%20Web%20Sites/barcoded/framerusercontent.com/images/zaHW4wQv3ndGRqXPY7czgxXu4s866a.png	(from https://generous-topic-543890.framer.app/)
